Goodyear,4/1/21,6/30/21,Goodyear Up To $75 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/Goodyear_0401-0630/ADV_DT-AT_Goodyear_UpTo75_brief_20210401.pdf,87251,Manufacturer
Michelin,5/1/21,5/9/21,ONLINE ONLY Michelin $110 Instant Savings,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/Michelin_0501-0509/ADV_DT-AT_Michelin110_brief_20210501.pdf,,Instant
MickeyThompson,3/18/21,5/15/21,Mickey Thompson $100 Visa Prepaid Card,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/MickeyThompson_0401-0515/ADV_DT-AT_MT_brief_20210401.pdf,87202,Manufacturer
Yokohama,4/1/21,5/2/21,Yokohama Up To $80 Visa Prepaid Card,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/Yokohama_0401-0502/ADV_DT-AT_Yokohama_UpTo80_brief_20210401.pdf,87399,Manufacturer
DiscountTire,5/1/21,4/30/21,SynCCEveryday Up To $50 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/SynCC_0501-0522/ADV_DT-AT_SynCC-30_50_brief_20210501.pdf,10478,DT/AT/Direct
Hankook,3/19/21,5/8/21,Hankook Up To $70 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/Hankook_0319-0508/ADV_DT-AT_HankookUpTo70_Brief_20210319.pdf,87287,Manufacturer
Laufenn,3/19/21,5/8/21,Laufenn $40 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/Laufenn_0319-0508/ADV_DT-AT_Laufenn40_brief_20210319.pdf,87287,Manufacturer
Cooper,5/1/21,5/15/21,ONLINE ONLY Cooper $70 Instant Savings,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/Cooper_0501-0515/ADV_DT-AT_Cooper70_brief_20210501.pdf,,Instant
Bridgestone,5/1/21,5/15/21,Bridgestone $120 Visa Prepaid Card,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/Bridgestone_0501-0512/ADV_DT-AT_Bridgestone120_brief_20210501.pdf,87290,Manufacturer
Firestone,5/13/21,7/8/21,Firestone Up To $100 Visa Prepaid Card,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/Firestone_0513-0708/ADV_DT-AT_Firestone60_100_brief_20210513.pdf,87222,Manufacturer
Firestone,5/1/21,5/12/21,ONLINE ONLY Firestone $70 Instant Savings,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/Firestone_0501-0512/ADV_DT-AT_Firestone70_brief_20210501.pdf,,Instant
Vogue,5/17/21,5/31/21,Vogue Up To $125 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/Vogue_0517-0531/ADV_DT-AT_Vogue125_brief_20210517.pdf,87197,DT/AT/Direct
Car Advise,5/16/21,5/22/21,Car Advise $50 Instant Savings,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/CarAdvise_0516-0522/ADV_DT-AT_CarAdvise_50_brief_20210516.pdf,87256,Instant
DiscountTire,5/3/21,12/31/21,ONLINE ONLY Military 10% Instant Savings,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/Military_Discount_0503-1231/ADV-Military_Discount_brief_20210503.pdf,,Instant
DiscountTire,5/23/21,5/31/21,Memorial Day Event,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2021/MemDay_Event_0523-0531/ADV_MemDay_Event_brief_20210523.pdf,91025,DT/AT/Direct
